283|"Caralluma lasiantha (Wight) N.E.Br."
285|"Ceropegia juncea Roxb."
287|"Ficus pumila L."
288|"Caesalpinia ferrea Tulasne"
289|"Berrya cordifolia (Willd.) Burret"
290|"Ludwigia perennis L."
291|"Strychnos minor Dennst."
293|"Orthosiphon thymiflorus (Roth) Sleesen"
294|"Operculina turpethum (L.) Silva Manso"
295|"Rhynchosia rufescens (Willd.) DC."
296|"Diospyros malabarica (Desr.) Kostel."
297|"Psilanthus wightianus (Wight et Arn.) J.Leroy"
298|"Portulaca tuberosa Roxb."
299|"Fimbristylis argentea (Rottb.) Vahl"
300|"Ledebouria revoluta (L. f.) Jessop"
301|"Cadaba trifoliata (Roxb.) Wight et Arn."
302|"Adenia wightiana (Wall. ex Wight et Arn.) Engl."
303|"Mallotus philippensis (Lam.) M?ll.Arg."
306|"Commelina diffusa Burm.f."
307|"Leucas aspera (Willd.) Link"
311|"Pavetta indica L."
312|"Bulbostylis barbata (Rottb.) C.B.Clarke"
313|"Arundo donax L."
315|"Cestrum diurnum L."
317|"Magnolia champaca (L.) Baill. ex Pierre"
318|"Clerodendrum indicum (L.) Kuntze"
319|"Alternanthera pungens Kunth"
321|"Dichrostachys cinerea (L.) Wight et Arn."
322|"Grewia sp."
323|"Tritaxis glabella (Thwaites) R.Y. Yu et Welzen"
324|"Vetiveria zizanoides (L.) Nash"
326|"Cyperus pangorei Rottb."
327|"Sorghum sp."
328|"Cyperus procerus Rottb."
329|"Cyperus difformis L."
330|"Eriochloa procera (Retz.) C.E.Hubb."
331|"Ziziphus joazeiro Mart."
332|"Senna multijuga (Rich.) Irwin et Barneby"
334|"Malpighia glabra L."
335|"Cyperus compressus L."
337|"Myristica prainii King"
338|"Sida acuta Burm.f."
339|"Strobilanthes sanjappae Karthik. et Moorthy"
340|"Oplismenus compositus (L.) P.Beauv."
341|"Cyrtococcum trigonum (Retz.) A.Camus"
343|"Phaulopsis imbricata (Forsskal) Sweet"
345|"Blumea procera DC."
346|"Elephantopus scaber L."
347|"Gendarussa vulgaris Nees"
350|"Desmodium heterocarpon (L.) DC. ssp. heterocarpon"
351|"Argyreia nervosa (Burm.f.) Bojer"
352|"Psychotria divergens Kurz"
353|"Thysanolaena maxima (Roxb.) Kuntze"
354|"Aeschynanthus griffithii R.Br."
355|"Rotala indica (Willd.) Koehne"
356|"Eriocaulon truncatum Buch.-Ham."
357|"Ludwigia linifolia (Vahl) Rolla Rao"
359|"Fimbristylis quinquangularis (Vahl) Kunth"
361|"Coix lacryma-jobi L."
362|"Lobelia alsinoides Lam."
363|"Hydrolea zeylanica (L.) Vahl"
365|"Ischaemum timorense Kunth"
367|"Cyrtococcum patens (L.) A.Camus"
368|"Paspalum scrobiculatum L."
369|"Garcinia cowa Roxb. ex DC."
372|"Fuirena ciliaris (L.) Roxb."
374|"Ammannia baccifera L."
375|"Alysicarpus vaginalis (L.) DC."
